,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Boston,3400,42.35892,-71.05781,Boston,0.14044486737080417
1,Cambridge,10377,42.3750997,-71.1056157,Boston,2.5637639932084935
2,Somerville,12505,42.3875968,-71.0994968,Boston,2.7710003746935405
3,Allston,10988,42.3554344,-71.1321271,Boston,3.730727618742297
4,Newcastle,3024,42.272932,-71.100717,Boston,6.399940960547974
5,Newton,9600,42.3370414,-71.2092214,Boston,7.831074073591362
6,Canton,11406,42.1584324,-71.1447732,Boston,14.613898986480558
7,Natick,7671,42.2834298,-71.3495032,Boston,15.774265877182685
8,Andover,11724,42.6582997,-71.1445046,Boston,21.009161899192936
9,Ashland,8268,42.261111,-71.463889,Boston,21.819303420055647
10,Lawrence,12984,42.7070354,-71.1631137,Boston,24.4976052213146
11,Marlborough,9630,42.3459271,-71.5522874,Boston,25.2449405132437
12,Westborough,10888,42.2695644,-71.6472319,Boston,30.750935908267333
13,North Attleborough,12728,41.9695516,-71.35654389999999,Boston,30.992835931377808
14,Taunton,13210,41.900101,-71.0897674,Boston,31.81305652609303
15,Woonsocket,11564,42.0028761,-71.5147839,Boston,33.989202932733285
16,Nashua,10856,42.7653662,-71.467566,Boston,34.84845062478463
17,Derry,12215,42.8808677,-71.3264492,Boston,38.40987546715799
18,Worcester,9519,42.2625932,-71.8022934,Boston,38.644327684153865
19,East Providence,7758,41.8137116,-71.3700545,Boston,40.97445221930361
20,Providence,8406,41.8239891,-71.4128343,Boston,41.24159917268321
21,Manchester,7936,42.9956397,-71.4547891,Boston,48.24220817411504
22,Bourne,9949,41.7412166,-70.5989196,Boston,48.86959091217696
23,Provincetown,33568,42.0584412,-70.1786425,Boston,49.777277437134856
24,New Bedford,8917,41.6362152,-70.934205,Boston,50.402167242521436
25,Portsmouth,10188,43.0717552,-70.7625532,Boston,51.37138667624521
26,Southbridge,10604,42.0750954,-72.0334084,Boston,53.7052407650101
27,Dover,12515,43.1978624,-70.8736698,Boston,58.569727708235284
28,Barnstable,34164,41.7003208,-70.3002024,Boston,60.022756099124734
29,Falmouth,12267,41.5514979,-70.6147519,Boston,60.353140237164446
30,Newport,7621,41.4901024,-71.3128285,Boston,61.47266495391437
31,Hyannis,12635,41.6524911,-70.2881124,Boston,62.965074221986555
