,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Denver,3412,39.7391536,-104.9847034,Boulder,24.351938872507482
1,Thornton,14092,39.8680412,-104.9719243,Boulder,18.822348632017157
2,Aurora,10918,39.729432,-104.8319196,Boulder,30.525794676293483
3,Boulder,10622,40.0149856,-105.2705456,Boulder,0.0
4,Highlands Ranch,13119,39.5480789,-104.9739333,Boulder,35.87362931415164
5,Longmont,12784,40.1672068,-105.1019275,Boulder,13.789105086739625
6,Loveland,11588,40.3977612,-105.0749801,Boulder,28.364102302708233
7,Greeley,33374,40.4233142,-104.7091322,Boulder,40.93212660687713
8,Monument,12880,39.0916586,-104.872758,Boulder,67.14775446474543
9,Fort Collins,8543,40.5852602,-105.084423,Boulder,40.55730585261791
10,Breckenridge,9238,39.4816537,-106.0383518,Boulder,55.007362542354066
