,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Allston,10988,42.3554344,-71.1321271,Cambridge,1.6996165415057687
1,Cambridge,10377,42.3750997,-71.1056157,Cambridge,0.2343125391845924
2,Boston,3400,42.35892,-71.05781,Cambridge,2.844681689281108
3,Somerville,12505,42.3875968,-71.0994968,Cambridge,1.0980164997743305
4,Newcastle,3024,42.272932,-71.100717,Cambridge,6.964689526495798
5,Newton,9600,42.3370414,-71.2092214,Cambridge,5.68445081839642
6,Canton,11406,42.1584324,-71.1447732,Cambridge,14.960400825769236
7,Natick,7671,42.2834298,-71.3495032,Cambridge,13.767496646027142
8,Ashland,8268,42.261111,-71.463889,Cambridge,19.733472246390757
9,Marlborough,9630,42.3459271,-71.5522874,Cambridge,22.73480921376173
10,Andover,11724,42.6582997,-71.1445046,Cambridge,19.730064939720027
11,Lawrence,12984,42.7070354,-71.1631137,Cambridge,23.17477248099895
12,Westborough,10888,42.2695644,-71.6472319,Cambridge,28.452482994468355
13,North Attleborough,12728,41.9695516,-71.35654389999999,Cambridge,30.63231515597875
14,Taunton,13210,41.900101,-71.0897674,Cambridge,32.697793398901524
15,Woonsocket,11564,42.0028761,-71.5147839,Cambridge,32.97003122571631
16,Nashua,10856,42.7653662,-71.467566,Cambridge,32.62632028323521
17,Worcester,9519,42.2625932,-71.8022934,Cambridge,36.29367866484447
18,East Providence,7758,41.8137116,-71.3700545,Cambridge,40.89530975032783
19,Providence,8406,41.8239891,-71.4128343,Cambridge,41.00927682371427
20,Derry,12215,42.8808677,-71.3264492,Cambridge,36.71441839435422
21,Bourne,9949,41.7412166,-70.5989196,Cambridge,50.94461536920441
22,Manchester,7936,42.9956397,-71.4547891,Cambridge,46.392398584550165
23,New Bedford,8917,41.6362152,-70.934205,Cambridge,51.6896067085513
24,Southbridge,10604,42.0750954,-72.0334084,Cambridge,51.66976826750813
25,Provincetown,33568,42.0584412,-70.1786425,Cambridge,52.49045874763752
26,Portsmouth,10188,43.0717552,-70.7625532,Cambridge,51.32723154923734
27,Newport,7621,41.4901024,-71.3128285,Cambridge,61.86908875494745
28,Falmouth,12267,41.5514979,-70.6147519,Cambridge,62.20554707051447
29,Barnstable,34164,41.7003208,-70.3002024,Cambridge,62.40337522486669
30,Dover,12515,43.1978624,-70.8736698,Cambridge,58.147542050672065
