,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Chicago,3405,41.8781136,-87.6297982,Chicago,0.32880588891784296
1,Oak Park,12601,41.8850317,-87.7845025,Chicago,8.282450942284123
2,Des Plaines,10844,42.0415823,-87.8873916,Chicago,17.743113785143453
3,Lombard,10597,41.8800296,-88.0078435,Chicago,19.77911072138763
4,Buffalo Grove,11311,42.1514146,-87.959794,Chicago,25.699383080155123
5,Bolingbrook,7779,41.6986416,-88.0683955,Chicago,25.98007483801381
6,Schaumburg,11804,41.9891458,-88.1179527,Chicago,26.615195887573616
7,Naperville,9606,41.7824837,-88.1495225,Chicago,27.85568220857804
8,Merrillville,9407,41.4828144,-87.3328139,Chicago,31.020674942758923
9,Libertyville,8657,42.2830786,-87.9531303,Chicago,32.814079373784075
10,Crown Point,13026,41.4169806,-87.3653135,Chicago,34.37268001560677
11,Geneva,9056,41.8875281,-88.3053525,Chicago,35.12964526321728
12,Batavia,8191,41.8500284,-88.3125738,Chicago,35.54642683058629
13,North Aurora,13940,41.8061399,-88.3272952,Chicago,36.58960850545872
14,Aurora,8400,41.7605849,-88.3200715,Chicago,36.78061095882597
15,Valparaiso,8957,41.4730948,-87.0611412,Chicago,40.260658529896936
16,Zion,10601,42.4461322,-87.8328505,Chicago,40.809591750042905
17,Crystal Lake,9079,42.2411344,-88.3161965,Chicago,43.61893835698729
18,McHenry,7842,42.333355,-88.2667534,Chicago,45.69740376521473
19,La Porte,12564,41.611143,-86.7227195,Chicago,50.05142565221989
20,Kenosha,8358,42.5847425,-87.8211854,Chicago,49.97821835013361
21,DeKalb,11530,41.9294736,-88.7503647,Chicago,58.17189683552485
