,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Cleveland,3407,41.49932,-81.6943605,Cleveland,0.40590913213534874
1,Wickliffe,10023,41.6053266,-81.4534492,Cleveland,14.232356126940115
2,Mentor,11434,41.6661573,-81.339552,Cleveland,21.44002493898391
3,Twinsburg,12775,41.3125552,-81.4401129,Cleveland,18.705770984996647
4,Akron,3386,41.0814447,-81.5190053,Cleveland,30.617400734214186
5,Canton,11117,40.7989522,-81.3784445,Cleveland,51.42871306137494
6,Canton,12543,40.7989522,-81.3784445,Cleveland,51.42871306137494
7,Wooster,12176,40.8050565,-81.935143,Cleveland,49.9300313615594
8,Youngstown,9194,41.0997803,-80.6495194,Cleveland,61.104551912019566
9,Sandusky,13268,41.4489396,-82.7079605,Cleveland,52.796257920184686
10,Ashland,7554,40.8686675,-82.3182178,Cleveland,54.68105389973886
