,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,San Jose,3484,37.3382082,-121.8863286,Cupertino,8.103891478880653
1,Santa Clara,12428,37.3541132,-121.9551744,Cupertino,4.755332996417116
2,Cupertino,11143,37.3230107,-122.0322519,Cupertino,0.0
3,Sunnyvale,10672,37.3688301,-122.0363496,Cupertino,3.1678573028107055
4,Los Gatos,12562,37.2358078,-121.9623751,Cupertino,7.140830187651448
5,Fremont,3419,37.5482697,-121.9885719,Cupertino,15.719237897819307
6,Stanford,8279,37.4266268,-122.170113702442,Cupertino,10.42254929174661
7,Palo Alto,10877,37.442156,-122.1634472,Cupertino,10.937907737567738
8,Torrington,11692,37.5800421,-122.0353035,Cupertino,17.72659963885919
9,Redwood City,12455,37.4852152,-122.2363548,Cupertino,15.849730823603437
10,Pleasanton,9616,37.6624312,-121.8746789,Cupertino,24.957928843124062
11,Livermore,12521,37.6818745,-121.7680088,Cupertino,28.692882102071003
12,Dublin,12834,37.7021521,-121.9357918,Cupertino,26.678781798756468
13,Hayward,10123,37.6688205,-122.0807964,Cupertino,23.99717095689839
14,Belmont,11889,37.5161415,-122.297856057406,Cupertino,19.769256743914596
15,Santa Cruz,8766,36.9741171,-122.0307963,Cupertino,24.059851434161047
16,San Mateo,11992,37.5446217,-122.3091165,Cupertino,21.572988353885346
17,Danville,9036,37.8215929,-121.9999606,Cupertino,34.4303749169866
18,Oakland,3459,37.8043637,-122.2711137,Cupertino,35.69251574572499
19,Walnut Creek,13813,37.9100783,-122.0651819,Cupertino,40.52770057148883
20,San Francisco,3483,37.775206,-122.419209,Cupertino,37.73570250556757
21,Berkeley,9798,37.8708789,-122.2728247,Cupertino,40.02360727190589
22,Concord,13811,37.9779776,-122.0310733,Cupertino,45.17043576328182
23,Marina,11628,36.6900785,-121.800639730262,Cupertino,45.486735545864605
24,Antioch,33492,38.0049214,-121.805789,Cupertino,48.639946779845225
25,Mountain View,9610,38.0091199337357,-122.116837106443,Cupertino,47.54494940911153
26,Monterey,7655,36.6002378,-121.8946761,Cupertino,50.41893785568069
27,Stockton,3490,37.9577016,-121.2907796,Cupertino,59.74509417481938
28,Carmel By The Sea,12553,36.5552386,-121.9232879,Cupertino,53.286168511417785
29,San Rafael,11933,37.9735346,-122.5310874,Cupertino,52.54526555171176
30,Vallejo,9373,38.1040864,-122.2566367,Cupertino,55.253118866071496
31,Modesto,3452,37.6930765,-120.94778707347,Cupertino,64.81502003765974
32,Turlock,11656,37.5021206,-120.846064650786,Cupertino,66.4093315669417
33,Fairfield,10770,38.23362,-122.076905389269,Cupertino,62.849915330595174
