,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Plano,3468,33.0198431,-96.6988856,Dallas,17.724917195597957
1,Garland,3421,32.912624,-96.6388833,Dallas,13.14279259820876
2,Allen,11400,33.1031744,-96.6705503,Dallas,23.692995281660952
3,Dallas,3411,32.7761963,-96.7968994,Dallas,0.005792493020389585
4,Frisco,12528,33.1506744,-96.82361159999999,Dallas,25.84776224837578
5,Irving,3432,32.8140177,-96.9488945,Dallas,9.223455170624328
6,McKinney,10614,33.1976496,-96.6154471,Dallas,30.890502876686
7,Grapevine,12655,32.9342919,-97.0780654,Dallas,19.649496958292985
8,Arlington,9131,32.735687,-97.1080656,Dallas,18.33579617211413
9,Denton,12599,33.2148412,-97.13306829999999,Dallas,35.981035356552205
10,Fort Worth,3418,32.753177,-97.3327459,Dallas,31.241526448291353
11,Greenville,9166,33.1384488,-96.1108066,Dallas,47.026833769499014
12,Sherman,13843,33.6356618,-96.6088805,Dallas,60.217818677657206
13,Weatherford,7659,32.7647075,-97.6818919554255,Dallas,51.531937873601976
14,Pottsboro,10551,33.7864635,-96.6777256680569,Dallas,69.9589841568897
