,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Denver,3412,39.7391536,-104.9847034,Denver,0.0
1,Thornton,14092,39.8680412,-104.9719243,Denver,8.918096820226307
2,Aurora,10918,39.729432,-104.8319196,Denver,8.165828265729191
3,Boulder,10622,40.0149856,-105.2705456,Denver,24.35193887250736
4,Highlands Ranch,13119,39.5480789,-104.9739333,Denver,13.194652613672007
5,Longmont,12784,40.1672068,-105.1019275,Denver,30.18152463109526
6,Loveland,11588,40.3977612,-105.0749801,Denver,45.69160610816967
7,Greeley,33374,40.4233142,-104.7091322,Denver,49.411116616528446
8,Monument,12880,39.0916586,-104.872758,Denver,45.068444287603384
9,Fort Collins,8543,40.5852602,-105.084423,Denver,58.6158450441069
10,Breckenridge,9238,39.4816537,-106.0383518,Denver,58.96364274567615
