,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Irvine,8366,33.6839473,-117.7946942,Irvine,1.8067126910446023
1,Tustin,11263,33.7458511,-117.826166,Irvine,4.145888653891814
2,Santa Ana,3485,33.7455731,-117.8678338,Irvine,4.779148427021319
3,Costa Mesa,9533,33.6635605,-117.919587273982,Irvine,5.605453530021307
4,Newport Beach,9032,33.6189101,-117.9289469,Irvine,7.510517108096017
5,Garden Grove,11910,33.7746292,-117.9463717,Irvine,9.253741738846779
6,Huntington Beach,3430,33.660297,-117.9992265,Irvine,10.135415294290846
7,Westminster,8402,33.7513419,-117.9939921,Irvine,10.681820843943639
8,Mission Viejo,11468,33.5965685,-117.659405,Irvine,11.399093229472987
9,Anaheim,3388,33.8352932,-117.9145036,Irvine,11.500919651676822
10,Fullerton,13128,33.8703596,-117.9242966,Irvine,13.928386468658488
11,Brea,9371,33.9181945,-117.8994423,Irvine,16.572227162280836
12,Cerritos,9165,33.8668925,-118.049503357446,Irvine,17.929321789589668
13,Corona,33663,33.8752935,-117.5664384,Irvine,19.84637049149834
14,Long Beach,3441,33.8041667,-118.1580556,Irvine,20.79002950699347
15,Pomona,9234,34.0552267,-117.7523048,Irvine,25.818764171936465
16,Ontario,13879,34.0633443,-117.6508876,Irvine,27.907065826069523
17,San Dimas,10109,34.1066756,-117.8067257,Irvine,29.03613589082754
18,Upland,10336,34.09751,-117.6483876,Irvine,30.16304155199353
19,Riverside,3473,33.9533487,-117.3961564,Irvine,30.849331148682666
20,Torrance,12225,33.8358492,-118.3406288,Irvine,31.381392522246564
21,Rancho Cucamonga,10369,34.1063989,-117.5931084,Irvine,31.935978604014196
22,Redondo Beach,14100,33.8491816,-118.3884078,Irvine,34.278633212961424
23,Los Angeles,3442,34.0522342,-118.2436849,Irvine,34.855731188565784
24,Hermosa Beach,8178,33.8622366,-118.3995194,Irvine,35.18191014184214
25,Fontana,7579,34.0922335,-117.435048,Irvine,35.916995254534044
26,Murrieta,12550,33.5539143,-117.2139232,Irvine,36.44104573450072
27,Davis,12418,34.1722874,-117.5812832,Irvine,36.36479109047215
28,Pasadena,12291,34.1476452,-118.1444779,Irvine,36.72387298937202
29,Glendale,3422,34.1425078,-118.255075,Irvine,39.990609160444365
30,Temecula,11519,33.4946353,-117.1473661,Irvine,41.29763517359811
31,West Hollywood,11790,34.0900091,-118.3617443,Irvine,41.532015933524214
32,San Bernardino,3481,34.1083449,-117.2897652,Irvine,42.406899134962394
33,Beverly Hills,12882,34.0736204,-118.4003563,Irvine,42.48602039372544
34,Oceanside,11257,33.1958696,-117.3794834,Irvine,42.48669331733143
35,Santa Monica,8807,34.0194543,-118.4911912,Irvine,44.636089295574614
36,Redlands,12848,34.0555693,-117.1825381,Irvine,44.92585212863074
