,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Los Angeles,3442,34.0522342,-118.2436849,Los Angeles,0.19160416408328654
1,Glendale,3422,34.1425078,-118.255075,Los Angeles,6.066480382135719
2,West Hollywood,11790,34.0900091,-118.3617443,Los Angeles,7.147342583133233
3,Pasadena,12291,34.1476452,-118.1444779,Los Angeles,8.585275071066174
4,Beverly Hills,12882,34.0736204,-118.4003563,Los Angeles,9.03387305175506
5,Santa Monica,8807,34.0194543,-118.4911912,Los Angeles,14.366237457953359
6,Hermosa Beach,8178,33.8622366,-118.3995194,Los Angeles,15.99027857749189
7,Torrance,12225,33.8358492,-118.3406288,Los Angeles,16.078545561192986
8,Pacific Palisades,10786,34.0480643,-118.5264706,Los Angeles,16.185117640891274
9,Redondo Beach,14100,33.8491816,-118.3884078,Los Angeles,16.414985267825912
10,Cerritos,9165,33.8668925,-118.049503357446,Los Angeles,17.127795211903656
11,Long Beach,3441,33.8041667,-118.1580556,Los Angeles,17.98276672567846
12,Brea,9371,33.9181945,-117.8994423,Los Angeles,21.93751056171307
13,Fullerton,13128,33.8703596,-117.9242966,Los Angeles,22.35972189138967
14,Canoga Park,34249,34.208254,-118.6058609,Los Angeles,23.253286392785256
15,Anaheim,3388,33.8352932,-117.9145036,Los Angeles,24.257732964547092
16,San Dimas,10109,34.1066756,-117.8067257,Los Angeles,25.357348062002174
17,Westminster,8402,33.7513419,-117.9939921,Los Angeles,25.39805648204097
18,Garden Grove,11910,33.7746292,-117.9463717,Los Angeles,25.820013282532777
19,Pomona,9234,34.0552267,-117.7523048,Los Angeles,28.234939157230645
20,Santa Clarita,8222,34.42333,-118.47111,Los Angeles,28.514447289490647
21,Santa Ana,3485,33.7455731,-117.8678338,Los Angeles,30.384189016410463
22,Agoura Hills,12934,34.1533395,-118.7616764,Los Angeles,30.41947683330311
23,Huntington Beach,3430,33.660297,-117.9992265,Los Angeles,30.637767557592085
24,Simi Valley,9541,34.2657598,-118.731346417536,Los Angeles,31.454047069251114
25,Tustin,11263,33.7458511,-117.826166,Los Angeles,32.12148401101938
26,Costa Mesa,9533,33.6635605,-117.919587273982,Los Angeles,32.8115689882248
27,Ontario,13879,34.0633443,-117.6508876,Los Angeles,34.05633966074941
28,Upland,10336,34.09751,-117.6483876,Los Angeles,34.313663468240534
29,Thousand Oaks,7813,34.1705609,-118.8375937,Los Angeles,34.92441229731539
30,Newport Beach,9032,33.6189101,-117.9289469,Los Angeles,35.106113017237554
31,Irvine,8366,33.6839473,-117.7946942,Los Angeles,36.36605095461512
32,Palmdale,8144,34.5794343,-118.1164613,Los Angeles,36.88631098158682
33,Rancho Cucamonga,10369,34.1063989,-117.5931084,Los Angeles,37.52449761032753
34,Davis,12418,34.1722874,-117.5812832,Los Angeles,38.87078082440131
35,Corona,33663,33.8752935,-117.5664384,Los Angeles,40.859828307487064
36,Lancaster,10835,34.6981064,-118.1366153,Los Angeles,44.759158663623815
37,Mission Viejo,11468,33.5965685,-117.659405,Los Angeles,46.15883909541235
