,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Arlington,3390,38.8799697,-77.1067698,McLean,5.315767298796208
1,Chevy Chase,8038,38.9807871,-77.0823482,McLean,6.050380513882535
2,Washington,3497,38.9071923,-77.0368707,McLean,7.785788941709402
3,Silver Spring,9151,38.9906657,-77.026088,McLean,9.035197841879699
4,Fairfax,8684,38.8462236,-77.3063733,McLean,9.219527171806604
5,Reston,10481,38.9584435,-77.3582532,McLean,9.895994027178427
6,Springfield,8473,38.7892801,-77.1872036,McLean,9.988078012182923
7,Rockville,7945,39.0839973,-77.1527578,McLean,10.439860974027704
8,Alexandria,8914,38.8048355,-77.0469214,McLean,11.341248776644386
9,Herndon,8157,38.9695545,-77.3860976,McLean,11.51496306737599
10,College Park,10859,38.980666,-76.9369189,McLean,13.341135632804399
11,Gaithersburg,33945,39.1434406,-77.2013705,McLean,14.514893495587662
12,Centreville,9767,38.8403909,-77.4288769,McLean,15.019802647572257
13,Ashburn,33474,39.0437567,-77.4874416,McLean,18.33878059445943
14,Woodbridge,8802,38.6581722,-77.2497049,McLean,19.415225921209515
15,Manassas,8849,38.7509488,-77.4752667,McLean,20.43661797594124
16,Laurel,10920,39.0992752,-76.8483061,McLean,21.061114216812562
17,Bowie,9358,39.0067768,-76.7791365,McLean,22.020831139047125
18,Waldorf,11225,38.6245628,-76.9391395,McLean,24.9100735632832
19,Columbia,9380,39.2151996,-76.8546725,McLean,26.028953737959657
20,Frederick,12560,39.41426879999999,-77.4105409,McLean,35.4281474051052
21,Warrenton,10434,38.7134515,-77.7952712,McLean,36.650532081455815
22,Annapolis,9016,38.9784453,-76.4921829,McLean,37.02633895350116
23,Baltimore,3396,39.2903848,-76.6121893,McLean,39.07760186043853
24,Fredericksburg,8216,38.3031837,-77.4605399,McLean,46.124742480632285
25,Germantown,7580,39.416774,-76.4585739,McLean,50.97874576855204
26,Martinsburg,8903,39.4562099,-77.9638869,McLean,55.509773970886826
27,Winchester,9400,39.1856588,-78.1633342,McLean,55.80441368211901
28,Hagerstown,9113,39.6419219,-77.7202641,McLean,56.86116870237945
29,Abingdon,12245,39.4623305,-76.2791236,McLean,60.44049263441211
30,Lexington Park,8134,38.2667917,-76.4538411,McLean,60.41903889302669
31,Gettysburg,13019,39.8309293,-77.2310955,McLean,61.95209927770192
