,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Palo Alto,10877,37.442156,-122.1634472,Menlo Park,1.3074954768371805
1,Stanford,8279,37.4266268,-122.170113702442,Menlo Park,1.9898662769830378
2,Redwood City,12455,37.4852152,-122.2363548,Menlo Park,3.681144298659036
3,Belmont,11889,37.5161415,-122.297856057406,Menlo Park,7.673042500664235
4,San Mateo,11992,37.5446217,-122.3091165,Menlo Park,9.372651718111179
5,Sunnyvale,10672,37.3688301,-122.0363496,Menlo Park,9.935789015843893
6,Torrington,11692,37.5800421,-122.0353035,Menlo Park,11.86882122042811
7,Cupertino,11143,37.3230107,-122.0322519,Menlo Park,12.225256926385194
8,Fremont,3419,37.5482697,-121.9885719,Menlo Park,12.473522364255025
9,Santa Clara,12428,37.3541132,-121.9551744,Menlo Park,14.257167205594456
10,Hayward,10123,37.6688205,-122.0807964,Menlo Park,15.837400451003408
11,San Jose,3484,37.3382082,-121.8863286,Menlo Park,18.126327856946634
12,Los Gatos,12562,37.2358078,-121.9623751,Menlo Park,19.300932870953456
13,Dublin,12834,37.7021521,-121.9357918,Menlo Park,21.82180121159823
14,Pleasanton,9616,37.6624312,-121.8746789,Menlo Park,22.18104697835675
15,Oakland,3459,37.8043637,-122.2711137,Menlo Park,24.662122742615505
16,San Francisco,3483,37.775206,-122.419209,Menlo Park,25.696843193580154
17,Danville,9036,37.8215929,-121.9999606,Menlo Park,27.261196075347637
18,Livermore,12521,37.6818745,-121.7680088,Menlo Park,27.645777491752973
19,Berkeley,9798,37.8708789,-122.2728247,Menlo Park,29.188504590619328
20,Walnut Creek,13813,37.9100783,-122.0651819,Menlo Park,32.112822503838274
21,Santa Cruz,8766,36.9741171,-122.0307963,Menlo Park,34.11868011587575
22,Concord,13811,37.9779776,-122.0310733,Menlo Park,37.08480944729832
23,Mountain View,9610,38.0091199337357,-122.116837106443,Menlo Park,38.46370277487419
24,San Rafael,11933,37.9735346,-122.5310874,Menlo Park,40.621177538508086
25,Antioch,33492,38.0049214,-121.805789,Menlo Park,43.239228423577984
26,Vallejo,9373,38.1040864,-122.2566367,Menlo Park,45.03146947801878
27,American Canyon,11631,38.223457,-122.227042971235,Menlo Park,53.13657445990321
28,Fairfield,10770,38.23362,-122.076905389269,Menlo Park,54.0882309674649
29,Marina,11628,36.6900785,-121.800639730262,Menlo Park,56.730471118048044
30,Napa,12456,38.2891775,-122.293706268451,Menlo Park,57.93454143521001
31,Stockton,3490,37.9577016,-121.2907796,Menlo Park,59.94364277809252
32,Monterey,7655,36.6002378,-121.8946761,Menlo Park,60.97098458473409
