,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Sunnyvale,10672,37.3688301,-122.0363496,Mountain View,2.9429301706900013
1,Cupertino,11143,37.3230107,-122.0322519,Mountain View,5.368793372680044
2,Stanford,8279,37.4266268,-122.170113702442,Mountain View,5.426841399346079
3,Palo Alto,10877,37.442156,-122.1634472,Mountain View,5.720303526695577
4,Santa Clara,12428,37.3541132,-121.9551744,Mountain View,7.455024505050281
5,Redwood City,12455,37.4852152,-122.2363548,Mountain View,10.704913071318483
6,San Jose,3484,37.3382082,-121.8863286,Mountain View,11.397554061618177
7,Los Gatos,12562,37.2358078,-121.9623751,Mountain View,12.508986923712898
8,Fremont,3419,37.5482697,-121.9885719,Mountain View,12.129207511850339
9,Torrington,11692,37.5800421,-122.0353035,Mountain View,13.409199631403125
10,Belmont,11889,37.5161415,-122.297856057406,Mountain View,14.685964839975792
11,San Mateo,11992,37.5446217,-122.3091165,Mountain View,16.39542941049597
12,Hayward,10123,37.6688205,-122.0807964,Mountain View,19.271313309535085
13,Pleasanton,9616,37.6624312,-121.8746789,Mountain View,22.04008832889364
14,Dublin,12834,37.7021521,-121.9357918,Mountain View,23.038579232536705
15,Livermore,12521,37.6818745,-121.7680088,Mountain View,26.580568963086876
16,Santa Cruz,8766,36.9741171,-122.0307963,Mountain View,28.782982322853496
17,Danville,9036,37.8215929,-121.9999606,Mountain View,30.155061173312188
18,Oakland,3459,37.8043637,-122.2711137,Mountain View,30.419640297177537
19,San Francisco,3483,37.775206,-122.419209,Mountain View,32.373674654053445
20,Berkeley,9798,37.8708789,-122.2728247,Mountain View,34.796852866818945
21,Walnut Creek,13813,37.9100783,-122.0651819,Mountain View,35.92341896157565
22,Concord,13811,37.9779776,-122.0310733,Mountain View,40.693243108497086
23,Mountain View,9610,38.0091199337357,-122.116837106443,Mountain View,42.780373788922304
24,Antioch,33492,38.0049214,-121.805789,Mountain View,45.09115853824904
25,San Rafael,11933,37.9735346,-122.5310874,Mountain View,47.176536710206896
26,Vallejo,9373,38.1040864,-122.2566367,Mountain View,50.197204942990844
27,Marina,11628,36.6900785,-121.800639730262,Mountain View,50.69033623304132
28,Monterey,7655,36.6002378,-121.8946761,Mountain View,55.40864266182359
29,Carmel By The Sea,12553,36.5552386,-121.9232879,Mountain View,58.19788229799875
30,American Canyon,11631,38.223457,-122.227042971235,Mountain View,58.05969681034018
31,Fairfield,10770,38.23362,-122.076905389269,Mountain View,58.22578496819776
32,Stockton,3490,37.9577016,-121.2907796,Mountain View,58.50728553643099
