,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,New York,3455,40.7127837,-74.0059413,New York,1.5964606383472313
1,Hoboken,11268,40.7433066,-74.0323752,New York,2.5558120730158143
2,Astoria,11680,40.7720145,-73.9302673,New York,4.1098694025006965
3,West New York,12888,40.7878788,-74.0143064,New York,4.208054357461153
4,Jersey City,3436,40.7281575,-74.0776417,New York,4.7813675033001966
5,Brooklyn,9925,40.6501038,-73.9495823,New York,5.888077788010235
6,Bayonne,10315,40.6687141,-74.1143091,New York,7.951908401790317
7,Rutherford,7777,40.826489,-74.1068091,New York,9.137137510627502
8,East Rutherford,7640,40.833989,-74.0970865,New York,9.188367803054154
9,Newark,3456,40.735657,-74.1723667,New York,9.756207426061355
10,Queens,10027,40.7498243,-73.7976337,New York,10.006294236227337
11,Teaneck,10019,40.8975992,-74.0159727,New York,11.622728854612468
12,East Orange,8866,40.767323,-74.2048677,New York,11.729604030949545
13,Clifton,10575,40.8584328,-74.1637553,New York,12.808089916744771
14,Montclair,10429,40.8259332,-74.2090344,New York,13.392068834544286
15,Staten Island,13904,40.5795317,-74.1502007,New York,13.513933943158783
16,Bergen County,7845,40.9262762,-74.07701,New York,14.30657184024555
17,Yonkers,3500,40.9312099,-73.8987469,New York,14.585781817050858
18,Mount Vernon,9759,40.9125992,-73.8370786,New York,14.801433011256098
19,Paterson,7622,40.9137053,-74.1792284,New York,16.171132445821815
20,New Rochelle,12617,40.9114882,-73.7823549,New York,16.442798912985893
21,Cranford,11401,40.6554979,-74.3028539,New York,17.399836283707298
22,Harrington Park,11577,40.9837089,-73.9798601,New York,17.465946546177367
23,Hempstead,3425,40.7062128,-73.6187397,New York,19.387187130751954
24,Woodbridge,8273,40.5575986,-74.2846022,New York,19.694564293655585
25,Glen Cove,13130,40.8623217,-73.6337389,New York,20.61496753288217
26,Allendale,13877,41.0414857,-74.129032,New York,22.70899778893257
27,White Plains,11988,41.0339862,-73.7629097,New York,23.98748367473334
28,Parsippany-Troy Hills,8271,40.8578772,-74.4259866,New York,24.657227359118995
29,Levittown,13071,40.7259336,-73.51429209999999,New York,24.7958061622888
30,Oyster Bay,3463,40.8656543,-73.5320685,New York,25.591438656259758
31,Morristown,9199,40.7967667,-74.4815438,New York,26.364478623985008
32,Edison,9693,40.5187154,-74.4120953,New York,26.725241326312847
33,Red Bank,9150,40.3470543,-74.0643065,New York,26.782001783566017
