,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Palo Alto,10877,37.442156,-122.1634472,Palo Alto,0.0
1,Stanford,8279,37.4266268,-122.170113702442,Palo Alto,1.1319582503863468
2,Redwood City,12455,37.4852152,-122.2363548,Palo Alto,4.988077362217105
3,Sunnyvale,10672,37.3688301,-122.0363496,Palo Alto,8.629104494483423
4,Belmont,11889,37.5161415,-122.297856057406,Palo Alto,8.977957915551825
5,Cupertino,11143,37.3230107,-122.0322519,Palo Alto,10.93790773756788
6,Fremont,3419,37.5482697,-121.9885719,Palo Alto,12.07845699712358
7,Torrington,11692,37.5800421,-122.0353035,Palo Alto,11.831488267375224
8,San Mateo,11992,37.5446217,-122.3091165,Palo Alto,10.67739854640029
9,Santa Clara,12428,37.3541132,-121.9551744,Palo Alto,12.968263616095545
10,San Jose,3484,37.3382082,-121.8863286,Palo Alto,16.849514665684573
11,Hayward,10123,37.6688205,-122.0807964,Palo Alto,16.277215580726654
12,Los Gatos,12562,37.2358078,-121.9623751,Palo Alto,18.02995888227675
13,Pleasanton,9616,37.6624312,-121.8746789,Palo Alto,21.958213481406286
14,Dublin,12834,37.7021521,-121.9357918,Palo Alto,21.855635004563634
15,Oakland,3459,37.8043637,-122.2711137,Palo Alto,25.668547524507666
16,Livermore,12521,37.6818745,-121.7680088,Palo Alto,27.28749184527284
17,Danville,9036,37.8215929,-121.9999606,Palo Alto,27.661821510188457
18,San Francisco,3483,37.775206,-122.419209,Palo Alto,26.916161557407115
19,Berkeley,9798,37.8708789,-122.2728247,Palo Alto,30.169366821185392
20,Walnut Creek,13813,37.9100783,-122.0651819,Palo Alto,32.717275209213014
21,Santa Cruz,8766,36.9741171,-122.0307963,Palo Alto,33.095233638975024
22,Concord,13811,37.9779776,-122.0310733,Palo Alto,37.65881312162735
23,Mountain View,9610,38.0091199337357,-122.116837106443,Palo Alto,39.18495512422546
24,San Rafael,11933,37.9735346,-122.5310874,Palo Alto,41.81861517467372
25,Antioch,33492,38.0049214,-121.805789,Palo Alto,43.47699239698057
26,Vallejo,9373,38.1040864,-122.2566367,Palo Alto,45.93574518873898
27,American Canyon,11631,38.223457,-122.227042971235,Palo Alto,53.99697515579043
28,Fairfield,10770,38.23362,-122.076905389269,Palo Alto,54.79062312944354
29,Marina,11628,36.6900785,-121.800639730262,Palo Alto,55.60289843085035
30,Stockton,3490,37.9577016,-121.2907796,Palo Alto,59.58972442766842
31,Napa,12456,38.2891775,-122.293706268451,Palo Alto,58.850270211690464
32,Monterey,7655,36.6002378,-121.8946761,Palo Alto,59.929292361510576
33,Carmel By The Sea,12553,36.5552386,-121.9232879,Palo Alto,62.58609799395309
