,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Philadelphia,3465,39.952335,-75.163789,Philadelphia,0.011464910140530344
1,Cherry Hill,10414,39.9348351,-75.0307264,Philadelphia,7.159008861868708
2,Willingboro,11659,40.0278894,-74.8690542,Philadelphia,16.47558315072664
3,Doylestown,12633,40.3101063,-75.1298939,Philadelphia,24.744529705252408
4,Levittown,34170,40.1551096,-74.8287747,Philadelphia,22.599314077448213
5,Morrisville,9304,40.2114977,-74.7879399,Philadelphia,26.756622243033423
6,Perkasie,9350,40.372048,-75.292676,Philadelphia,29.74933740740822
7,Trenton,8989,40.2170575,-74.7429463,Philadelphia,28.816147783109525
8,Royersford,8697,40.1842688,-75.5379639,Philadelphia,25.490136837515323
9,Mullica Hill,11560,39.7392804,-75.2240718,Philadelphia,15.05116865898604
10,West Chester,8928,39.9606643,-75.6054882,Philadelphia,23.469455992200427
11,Princeton,7971,40.3487181,-74.6590472,Philadelphia,38.22654742381985
12,Downingtown,11393,40.0021426,-75.7107618,Philadelphia,29.245288542662802
13,Wilmington,10187,39.7459468,-75.546589,Philadelphia,24.853454197619012
14,Bethlehem,11848,40.6178915,-75.3786521,Philadelphia,47.30231053147479
15,Middletown,10769,40.6439873,-75.3324015,Philadelphia,48.54390873743316
16,Allentown,7944,40.6084305,-75.4901833,Philadelphia,48.442662791859036
17,North Brunswick,12519,40.4525163,-74.4766712,Philadelphia,50.11290233776347
18,Manalapan Township,11819,40.2765855,-74.3526359503142,Philadelphia,48.43223924337147
19,Newark,10970,39.6852191,-75.7508289,Philadelphia,36.2743252426868
20,Somerset,11413,40.5012385,-74.485477385179,Philadelphia,52.15400769391826
21,Bridgewater,13836,40.5939636,-74.6049061,Philadelphia,53.20932848399009
22,Freehold,12987,40.2136754,-74.3000878,Philadelphia,49.18519550952034
23,Reading,8666,40.3356483,-75.9268747,Philadelphia,48.296978971140206
24,Bedminster Township,11679,40.672849,-74.6776956696782,Philadelphia,55.943070155955354
25,Middlesex,8676,40.572603,-74.4926541,Philadelphia,55.57711992543019
26,Edison,9693,40.5187154,-74.4120953,Philadelphia,55.729861082553015
27,Toms River,34096,39.9537359,-74.1979576,Philadelphia,51.272582200441455
28,Barnegat,8383,39.7649223,-74.2693297,Philadelphia,49.27588727758743
