,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Reston,10481,38.9584435,-77.3582532,Reston,0.015294118455565647
1,Herndon,8157,38.9695545,-77.3860976,Reston,1.6987560351621838
2,Fairfax,8684,38.8462236,-77.3063733,Reston,8.222804012684724
3,Centreville,9767,38.8403909,-77.4288769,Reston,8.992995504948714
4,Ashburn,33474,39.0437567,-77.4874416,Reston,9.123116403358571
5,Rockville,7945,39.0839973,-77.1527578,Reston,14.035955008258647
6,Arlington,3390,38.8799697,-77.1067698,Reston,14.578114301223579
7,Chevy Chase,8038,38.9807871,-77.0823482,Reston,14.922618943317342
8,Springfield,8473,38.7892801,-77.1872036,Reston,14.862423960994285
9,Gaithersburg,33945,39.1434406,-77.2013705,Reston,15.29331732197063
10,Manassas,8849,38.7509488,-77.4752667,Reston,15.646185350144421
11,Washington,3497,38.9071923,-77.0368707,Reston,17.657376972147965
12,Silver Spring,9151,38.9906657,-77.026088,Reston,18.008939696106378
13,Alexandria,8914,38.8048355,-77.0469214,Reston,19.8362613840035
14,Woodbridge,8802,38.6581722,-77.2497049,Reston,21.51832648686142
15,College Park,10859,38.980666,-76.9369189,Reston,22.725863300345594
16,Laurel,10920,39.0992752,-76.8483061,Reston,29.093713881039015
17,Warrenton,10434,38.7134515,-77.7952712,Reston,29.0191144433878
18,Bowie,9358,39.0067768,-76.7791365,Reston,31.342915029857096
19,Frederick,12560,39.41426879999999,-77.4105409,Reston,31.573913662233714
20,Waldorf,11225,38.6245628,-76.9391395,Reston,32.27270589993014
21,Columbia,9380,39.2151996,-76.8546725,Reston,32.341114721749186
22,Fredericksburg,8216,38.3031837,-77.4605399,Reston,45.53468625829937
23,Winchester,9400,39.1856588,-78.1633342,Reston,46.056193409682585
24,Baltimore,3396,39.2903848,-76.6121893,Reston,46.15516659124854
25,Annapolis,9016,38.9784453,-76.4921829,Reston,46.64411226977217
26,Martinsburg,8903,39.4562099,-77.9638869,Reston,47.29452337062636
27,Hagerstown,9113,39.6419219,-77.7202641,Reston,50.99465431876515
28,Germantown,7580,39.416774,-76.4585739,Reston,57.71605265946859
29,Gettysburg,13019,39.8309293,-77.2310955,Reston,60.57452571744819
