,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,San Francisco,3483,37.775206,-122.419209,San Francisco,0.022168318737441045
1,Oakland,3459,37.8043637,-122.2711137,San Francisco,8.366864808544166
2,Berkeley,9798,37.8708789,-122.2728247,San Francisco,10.397340942771564
3,San Rafael,11933,37.9735346,-122.5310874,San Francisco,14.996441510232701
4,San Mateo,11992,37.5446217,-122.3091165,San Francisco,16.9957118970845
5,Belmont,11889,37.5161415,-122.297856057406,San Francisco,19.051803074227124
6,Hayward,10123,37.6688205,-122.0807964,San Francisco,19.9415117792381
7,Walnut Creek,13813,37.9100783,-122.0651819,San Francisco,21.499677966216083
8,Redwood City,12455,37.4852152,-122.2363548,San Francisco,22.36137492938272
9,Mountain View,9610,38.0091199337357,-122.116837106443,San Francisco,23.116685930359044
10,Danville,9036,37.8215929,-121.9999606,San Francisco,23.17945606035192
11,Vallejo,9373,38.1040864,-122.2566367,San Francisco,24.380749948951546
12,Torrington,11692,37.5800421,-122.0353035,San Francisco,24.979225757883718
13,Concord,13811,37.9779776,-122.0310733,San Francisco,25.432585841117493
14,Dublin,12834,37.7021521,-121.9357918,San Francisco,26.959276121887093
15,Palo Alto,10877,37.442156,-122.1634472,San Francisco,26.90581591310644
16,Stanford,8279,37.4266268,-122.170113702442,San Francisco,27.642816257912546
17,Fremont,3419,37.5482697,-121.9885719,San Francisco,28.32544982040867
18,Pleasanton,9616,37.6624312,-121.8746789,San Francisco,30.835068220349374
19,American Canyon,11631,38.223457,-122.227042971235,San Francisco,32.6680451154289
20,Sunnyvale,10672,37.3688301,-122.0363496,San Francisco,35.021658717360545
21,Napa,12456,38.2891775,-122.293706268451,San Francisco,36.12477402841107
22,Livermore,12521,37.6818745,-121.7680088,San Francisco,36.25471331635566
23,Fairfield,10770,38.23362,-122.076905389269,San Francisco,36.74525680094633
24,Antioch,33492,38.0049214,-121.805789,San Francisco,37.10132952726555
25,Cupertino,11143,37.3230107,-122.0322519,San Francisco,37.72635496161432
26,Santa Clara,12428,37.3541132,-121.9551744,San Francisco,38.623385788633435
27,San Jose,3484,37.3382082,-121.8863286,San Francisco,41.996920036085825
28,Los Gatos,12562,37.2358078,-121.9623751,San Francisco,44.865052906395135
29,Santa Rosa,7567,38.4404674,-122.7144314,San Francisco,48.63701452095893
30,Santa Cruz,8766,36.9741171,-122.0307963,San Francisco,59.223063325401036
31,Stockton,3490,37.9577016,-121.2907796,San Francisco,62.982608680718435
