,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,San Jose,3484,37.3382082,-121.8863286,San Jose,1.3980811412253461e-12
1,Santa Clara,12428,37.3541132,-121.9551744,San Jose,3.9459874022578765
2,Cupertino,11143,37.3230107,-122.0322519,San Jose,8.103891478879293
3,Sunnyvale,10672,37.3688301,-122.0363496,San Jose,8.524687954592068
4,Los Gatos,12562,37.2358078,-121.9623751,San Jose,8.211304532670264
5,Fremont,3419,37.5482697,-121.9885719,San Jose,15.539230607275353
6,Stanford,8279,37.4266268,-122.170113702442,San Jose,16.765168675725867
7,Palo Alto,10877,37.442156,-122.1634472,San Jose,16.84951466568339
8,Torrington,11692,37.5800421,-122.0353035,San Jose,18.580135743347622
9,Redwood City,12455,37.4852152,-122.2363548,San Jose,21.760683216973582
10,Pleasanton,9616,37.6624312,-121.8746789,San Jose,22.36892406056017
11,Livermore,12521,37.6818745,-121.7680088,San Jose,24.575909180355154
12,Dublin,12834,37.7021521,-121.9357918,San Jose,25.245798400508434
13,Hayward,10123,37.6688205,-122.0807964,San Jose,25.179695609942797
14,Belmont,11889,37.5161415,-122.297856057406,San Jose,25.745673938034294
15,Santa Cruz,8766,36.9741171,-122.0307963,San Jose,26.343590185870784
16,San Mateo,11992,37.5446217,-122.3091165,San Jose,27.26009023633539
17,Danville,9036,37.8215929,-121.9999606,San Jose,33.915056088864766
18,Oakland,3459,37.8043637,-122.2711137,San Jose,38.46618886845016
19,Walnut Creek,13813,37.9100783,-122.0651819,San Jose,40.64127537270156
20,San Francisco,3483,37.775206,-122.419209,San Jose,42.002662288110166
21,Berkeley,9798,37.8708789,-122.2728247,San Jose,42.417248889313434
22,Concord,13811,37.9779776,-122.0310733,San Jose,44.830370373299765
23,Marina,11628,36.6900785,-121.800639730262,San Jose,44.94451884913163
24,Antioch,33492,38.0049214,-121.805789,San Jose,46.19212683410229
25,Mountain View,9610,38.0091199337357,-122.116837106443,San Jose,47.9645112786467
26,Monterey,7655,36.6002378,-121.8946761,San Jose,50.89102499830175
27,Stockton,3490,37.9577016,-121.2907796,San Jose,53.77574176559469
28,Carmel By The Sea,12553,36.5552386,-121.9232879,San Jose,54.03051326736724
29,San Rafael,11933,37.9735346,-122.5310874,San Jose,56.29914085302475
30,Vallejo,9373,38.1040864,-122.2566367,San Jose,56.58168420318158
31,Modesto,3452,37.6930765,-120.94778707347,San Jose,57.07068339053265
32,Turlock,11656,37.5021206,-120.846064650786,San Jose,58.3236937010408
33,Fairfield,10770,38.23362,-122.076905389269,San Jose,62.62905776442908
