,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,San Mateo,11992,37.5446217,-122.3091165,San Mateo,3.5438540792602358
1,Belmont,11889,37.5161415,-122.297856057406,San Mateo,2.345282656648478
2,Redwood City,12455,37.4852152,-122.2363548,San Mateo,5.374748257035467
3,Palo Alto,10877,37.442156,-122.1634472,San Mateo,10.058527353868357
4,Stanford,8279,37.4266268,-122.170113702442,San Mateo,10.184601387970044
5,Hayward,10123,37.6688205,-122.0807964,San Mateo,18.227949321555375
6,San Francisco,3483,37.775206,-122.419209,San Mateo,19.76634653734387
7,Torrington,11692,37.5800421,-122.0353035,San Mateo,17.327766223799173
8,Oakland,3459,37.8043637,-122.2711137,San Mateo,21.474562776594055
9,Fremont,3419,37.5482697,-121.9885719,San Mateo,19.250775544035026
10,Sunnyvale,10672,37.3688301,-122.0363496,San Mateo,18.55429211916446
11,Berkeley,9798,37.8708789,-122.2728247,San Mateo,26.00209269795513
12,Cupertino,11143,37.3230107,-122.0322519,San Mateo,20.436122977819693
13,Dublin,12834,37.7021521,-121.9357918,San Mateo,25.99130079875814
14,Santa Clara,12428,37.3541132,-121.9551744,San Mateo,22.998216672878485
15,Danville,9036,37.8215929,-121.9999606,San Mateo,28.895688003482764
16,Pleasanton,9616,37.6624312,-121.8746789,San Mateo,27.627523840853815
17,Walnut Creek,13813,37.9100783,-122.0651819,San Mateo,32.053526883631214
18,San Jose,3484,37.3382082,-121.8863286,San Mateo,26.899431053967138
19,Los Gatos,12562,37.2358078,-121.9623751,San Mateo,27.212257404829597
20,San Rafael,11933,37.9735346,-122.5310874,San Mateo,34.61497794709833
21,Livermore,12521,37.6818745,-121.7680088,San Mateo,33.5308255900807
22,Mountain View,9610,38.0091199337357,-122.116837106443,San Mateo,37.257396077815855
23,Concord,13811,37.9779776,-122.0310733,San Mateo,37.07225858053754
24,Vallejo,9373,38.1040864,-122.2566367,San Mateo,42.08425769847432
25,Antioch,33492,38.0049214,-121.805789,San Mateo,45.400654653261654
26,Santa Cruz,8766,36.9741171,-122.0307963,San Mateo,39.71771453680532
27,American Canyon,11631,38.223457,-122.227042971235,San Mateo,50.443355176449685
28,Fairfield,10770,38.23362,-122.076905389269,San Mateo,52.70498461988807
29,Napa,12456,38.2891775,-122.293706268451,San Mateo,54.684429439855286
30,Stockton,3490,37.9577016,-121.2907796,San Mateo,65.34206589265308
