,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,San Jose,3484,37.3382082,-121.8863286,Santa Clara,3.945987402259162
1,Santa Clara,12428,37.3541132,-121.9551744,Santa Clara,0.0
2,Cupertino,11143,37.3230107,-122.0322519,Santa Clara,4.755332996417164
3,Sunnyvale,10672,37.3688301,-122.0363496,Santa Clara,4.582209895051332
4,Los Gatos,12562,37.2358078,-121.9623751,Santa Clara,8.168187326382526
5,Fremont,3419,37.5482697,-121.9885719,Santa Clara,13.515046225591806
6,Stanford,8279,37.4266268,-122.170113702442,Santa Clara,12.840848434738687
7,Palo Alto,10877,37.442156,-122.1634472,Santa Clara,12.968263616095593
8,Torrington,11692,37.5800421,-122.0353035,Santa Clara,16.191520460128974
9,Redwood City,12455,37.4852152,-122.2363548,Santa Clara,17.914805446193974
10,Pleasanton,9616,37.6624312,-121.8746789,Santa Clara,21.717933425228765
11,Livermore,12521,37.6818745,-121.7680088,Santa Clara,24.83222220627482
12,Dublin,12834,37.7021521,-121.9357918,Santa Clara,24.025917649550944
13,Hayward,10123,37.6688205,-122.0807964,Santa Clara,22.774361307140254
14,Belmont,11889,37.5161415,-122.297856057406,Santa Clara,21.90865207602646
15,Santa Cruz,8766,36.9741171,-122.0307963,Santa Clara,26.534893067115465
16,San Mateo,11992,37.5446217,-122.3091165,Santa Clara,23.480198382676267
17,Danville,9036,37.8215929,-121.9999606,Santa Clara,32.333375225057374
18,Oakland,3459,37.8043637,-122.2711137,Santa Clara,35.565470766062205
19,Walnut Creek,13813,37.9100783,-122.0651819,Santa Clara,38.814347602475394
20,San Francisco,3483,37.775206,-122.419209,Santa Clara,38.63020892315579
21,Berkeley,9798,37.8708789,-122.2728247,Santa Clara,39.67158559847762
22,Concord,13811,37.9779776,-122.0310733,Santa Clara,43.22622386924279
23,Marina,11628,36.6900785,-121.800639730262,Santa Clara,46.581274344356146
24,Antioch,33492,38.0049214,-121.805789,Santa Clara,45.62457503560986
25,Mountain View,9610,38.0091199337357,-122.116837106443,Santa Clara,46.034213720190024
26,Monterey,7655,36.6002378,-121.8946761,Santa Clara,52.09341209201273
27,Stockton,3490,37.9577016,-121.2907796,Santa Clara,55.31596254248325
28,Carmel By The Sea,12553,36.5552386,-121.9232879,Santa Clara,55.11687866026034
29,San Rafael,11933,37.9735346,-122.5310874,Santa Clara,53.12083945865216
30,Vallejo,9373,38.1040864,-122.2566367,Santa Clara,54.295204366237066
31,Modesto,3452,37.6930765,-120.94778707347,Santa Clara,60.068282820390024
32,Turlock,11656,37.5021206,-120.846064650786,Santa Clara,61.846135708199895
33,Fairfield,10770,38.23362,-122.076905389269,Santa Clara,61.02221834197163
