,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Santa Monica,8807,34.0194543,-118.4911912,Santa Monica,0.20949981481460772
1,Pacific Palisades,10786,34.0480643,-118.5264706,Santa Monica,2.970141146435735
2,Beverly Hills,12882,34.0736204,-118.4003563,Santa Monica,6.233758943617261
3,Hermosa Beach,8178,33.8622366,-118.3995194,Santa Monica,11.97049882518619
4,West Hollywood,11790,34.0900091,-118.3617443,Santa Monica,8.694868645842558
5,Redondo Beach,14100,33.8491816,-118.3884078,Santa Monica,13.057395849567854
6,Torrance,12225,33.8358492,-118.3406288,Santa Monica,15.223213326357635
7,Los Angeles,3442,34.0522342,-118.2436849,Santa Monica,14.172177256904344
8,Glendale,3422,34.1425078,-118.255075,Santa Monica,15.794125181537467
9,Canoga Park,34249,34.208254,-118.6058609,Santa Monica,14.662217431212568
10,Agoura Hills,12934,34.1533395,-118.7616764,Santa Monica,18.221659883660962
11,Pasadena,12291,34.1476452,-118.1444779,Santa Monica,21.561897481719782
12,Long Beach,3441,33.8041667,-118.1580556,Santa Monica,24.064281922330856
13,Simi Valley,9541,34.2657598,-118.731346417536,Santa Monica,21.976039437678832
14,Thousand Oaks,7813,34.1705609,-118.8375937,Santa Monica,22.606755388072152
15,Cerritos,9165,33.8668925,-118.049503357446,Santa Monica,27.27684601917724
16,Santa Clarita,8222,34.42333,-118.47111,Santa Monica,27.83966869776452
17,Westminster,8402,33.7513419,-117.9939921,Santa Monica,33.86566615566838
18,Fullerton,13128,33.8703596,-117.9242966,Santa Monica,33.95133189859482
19,Brea,9371,33.9181945,-117.8994423,Santa Monica,34.48906471141554
20,Garden Grove,11910,33.7746292,-117.9463717,Santa Monica,35.39273978332199
21,Anaheim,3388,33.8352932,-117.9145036,Santa Monica,35.29070652369995
22,Huntington Beach,3430,33.660297,-117.9992265,Santa Monica,37.44585495299537
23,Santa Ana,3485,33.7455731,-117.8678338,Santa Monica,40.32241721964904
24,Costa Mesa,9533,33.6635605,-117.919587273982,Santa Monica,40.85715349219155
25,San Dimas,10109,34.1066756,-117.8067257,Santa Monica,39.51166452925385
26,Newport Beach,9032,33.6189101,-117.9289469,Santa Monica,42.37320204795573
27,Tustin,11263,33.7458511,-117.826166,Santa Monica,42.44477523146858
28,Pomona,9234,34.0552267,-117.7523048,Santa Monica,42.25942723445246
29,Oxnard,8324,34.1975048,-119.1770516,Santa Monica,41.38750224355773
30,Irvine,8366,33.6839473,-117.7946942,Santa Monica,46.07347398534659
31,Palmdale,8144,34.5794343,-118.1164613,Santa Monica,44.03762122567299
32,Ontario,13879,34.0633443,-117.6508876,Santa Monica,48.099589933545566
33,Upland,10336,34.09751,-117.6483876,Santa Monica,48.43717319560631
34,Ventura,8601,34.2746405,-119.2290053,Santa Monica,45.9810573027914
35,Rancho Cucamonga,10369,34.1063989,-117.5931084,Santa Monica,51.65461344069805
36,Corona,33663,33.8752935,-117.5664384,Santa Monica,53.83636052949105
37,Davis,12418,34.1722874,-117.5812832,Santa Monica,53.01978482831168
