,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Sunnyvale,10672,37.3688301,-122.0363496,Sunnyvale,0.0
1,Cupertino,11143,37.3230107,-122.0322519,Sunnyvale,3.167857302810793
2,Stanford,8279,37.4266268,-122.170113702442,Sunnyvale,8.369693912951831
3,Palo Alto,10877,37.442156,-122.1634472,Sunnyvale,8.629104494483355
4,Santa Clara,12428,37.3541132,-121.9551744,Sunnyvale,4.582209895051343
5,Redwood City,12455,37.4852152,-122.2363548,Sunnyvale,13.616930987922432
6,San Jose,3484,37.3382082,-121.8863286,Sunnyvale,8.524687954593423
7,Los Gatos,12562,37.2358078,-121.9623751,Sunnyvale,10.03791881640302
8,Fremont,3419,37.5482697,-121.9885719,Sunnyvale,12.650492855890244
9,Torrington,11692,37.5800421,-122.0353035,Sunnyvale,14.566105824576503
10,Belmont,11889,37.5161415,-122.297856057406,Sunnyvale,17.606157216211216
11,San Mateo,11992,37.5446217,-122.3091165,Sunnyvale,19.283332306667983
12,Hayward,10123,37.6688205,-122.0807964,Sunnyvale,20.83221399214521
13,Pleasanton,9616,37.6624312,-121.8746789,Sunnyvale,22.110086833377512
14,Dublin,12834,37.7021521,-121.9357918,Sunnyvale,23.641467566443193
15,Livermore,12521,37.6818745,-121.7680088,Sunnyvale,26.140364696647232
16,Santa Cruz,8766,36.9741171,-122.0307963,Sunnyvale,27.22125564401358
17,Danville,9036,37.8215929,-121.9999606,Sunnyvale,31.288689581340183
18,Oakland,3459,37.8043637,-122.2711137,Sunnyvale,32.683337733045164
19,San Francisco,3483,37.775206,-122.419209,Sunnyvale,35.03008536845599
20,Berkeley,9798,37.8708789,-122.2728247,Sunnyvale,36.9743798149042
21,Walnut Creek,13813,37.9100783,-122.0651819,Sunnyvale,37.36108119742009
22,Concord,13811,37.9779776,-122.0310733,Sunnyvale,42.01157186815537
23,Mountain View,9610,38.0091199337357,-122.116837106443,Sunnyvale,44.378237529427615
24,Antioch,33492,38.0049214,-121.805789,Sunnyvale,45.65256039490877
25,San Rafael,11933,37.9735346,-122.5310874,Sunnyvale,49.74710520771178
26,Vallejo,9373,38.1040864,-122.2566367,Sunnyvale,52.1239531015616
27,Marina,11628,36.6900785,-121.800639730262,Sunnyvale,48.58608872776749
28,Monterey,7655,36.6002378,-121.8946761,Sunnyvale,53.57701184191055
29,Carmel By The Sea,12553,36.5552386,-121.9232879,Sunnyvale,56.45129393771195
30,American Canyon,11631,38.223457,-122.227042971235,Sunnyvale,59.85831215637183
31,Fairfield,10770,38.23362,-122.076905389269,Sunnyvale,59.68382984614212
32,Stockton,3490,37.9577016,-121.2907796,Sunnyvale,57.620692463050126
