,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Washington,3497,38.9071923,-77.0368707,Washington,0.844230992962606
1,Arlington,3390,38.8799697,-77.1067698,Washington,3.9193271104588927
2,Alexandria,8914,38.8048355,-77.0469214,Washington,6.24110229324366
3,Chevy Chase,8038,38.9807871,-77.0823482,Washington,6.412349981324774
4,Silver Spring,9151,38.9906657,-77.026088,Washington,6.626692030412591
5,College Park,10859,38.980666,-76.9369189,Washington,7.9889229258145225
6,Springfield,8473,38.7892801,-77.1872036,Washington,10.91348760415144
7,Rockville,7945,39.0839973,-77.1527578,Washington,14.461243639753345
8,Fairfax,8684,38.8462236,-77.3063733,Washington,14.928461059193886
9,Bowie,9358,39.0067768,-76.7791365,Washington,15.871106862082373
10,Laurel,10920,39.0992752,-76.8483061,Washington,17.36185712019455
11,Reston,10481,38.9584435,-77.3582532,Washington,17.873899042882783
12,Gaithersburg,33945,39.1434406,-77.2013705,Washington,19.297427035092863
13,Waldorf,11225,38.6245628,-76.9391395,Washington,19.380559520222914
14,Herndon,8157,38.9695545,-77.3860976,Washington,19.51848410618613
15,Woodbridge,8802,38.6581722,-77.2497049,Washington,19.977962012920184
16,Centreville,9767,38.8403909,-77.4288769,Washington,21.484208636685377
17,Columbia,9380,39.2151996,-76.8546725,Washington,24.162338326805
18,Manassas,8849,38.7509488,-77.4752667,Washington,25.668424873660197
19,Ashburn,33474,39.0437567,-77.4874416,Washington,26.35641050183054
20,Annapolis,9016,38.9784453,-76.4921829,Washington,29.892963134471852
21,Baltimore,3396,39.2903848,-76.6121893,Washington,35.56280169278341
22,Frederick,12560,39.41426879999999,-77.4105409,Washington,41.06875915549597
23,Warrenton,10434,38.7134515,-77.7952712,Washington,42.818108435819084
24,Fredericksburg,8216,38.3031837,-77.4605399,Washington,46.825537747908584
25,Germantown,7580,39.416774,-76.4585739,Washington,47.53643089981485
26,Lexington Park,8134,38.2667917,-76.4538411,Washington,53.600935752568724
27,Abingdon,12245,39.4623305,-76.2791236,Washington,56.44579825143437
28,Martinsburg,8903,39.4562099,-77.9638869,Washington,63.06925360215254
