,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
0,California,Cupertino,"Data Scientist, IT",125000.0,90.77168270164698,72.87580555530852,87.24363111939942,81.58303658789949,2048.584743795378,5575.907046738603,2265.5231823336517,3833.675463090813,229.02630077364896,1145.1504473174402,756.090867159546,2125.6492006717713,4314.10792612903,9409.582509829415,6102.558740537636,1007.0841568372507
8,California,San Jose,"Data Scientist, IT",117109.79,91.06606070919574,72.68297470089568,87.37157290820353,81.53667668528558,2055.2284269047395,5593.990047492164,2259.528562204068,3823.5314803319775,228.89615561794068,1144.4997107742042,757.1996657824559,2128.76644095183,4314.756989108808,9417.521527824141,5444.392177557858,341.6276388425249
5,California,Palo Alto,"Data Scientist, IT",114109.51,92.54535854249175,74.69847511609082,88.24937932747912,82.01072722644962,2088.6140256137605,5684.860096029347,2322.185336696423,3929.558088596619,230.2269474879585,1151.1537801980628,764.80711412261,2150.1537730646355,4410.799362310183,9614.418184625967,5098.326471023151,-105.29235129263361
7,California,San Francisco,"Data Scientist, IT",114060.42,91.6805964003635,74.69278806352919,89.97677643079977,80.82252407882157,2069.097602885336,5631.739638431415,2322.0085407170254,3929.258917785447,226.89133039339671,1134.475418826404,779.7774810940529,2192.2409744431648,4391.106143602361,9560.998556216862,5113.928856397639,-55.963556216862344
40,Washington,Bellevue,"Data Scientist, IT",111968.75,89.01922585388533,43.47216137720912,84.81735715067647,77.35903317278179,2009.034343762757,5468.25743404323,1351.4387749919388,2286.8791244145746,217.16834699943075,1085.8596976395854,735.0637323940553,2066.5341998854287,3360.473118754696,7755.136558457805,5970.25604791197,1575.5926082088608
10,California,Santa Clara,"Data Scientist, IT",109926.79,91.06606070919574,72.53914150904777,87.44284389050276,81.47096176143978,2055.2284269047395,5593.990047492164,2255.0571546081246,3815.9650490018025,228.71167552816354,1143.5772950664198,757.8173307984406,2130.502924229883,4310.285581512864,9409.955096493966,4850.280251820468,-249.38926316063407
9,California,San Mateo,"Data Scientist, IT",104804.68,90.77066162371896,74.10396493025674,89.11942489402246,80.61627946703794,2048.561699552908,5575.844324142253,2303.7035292175556,3898.283523675894,226.31234433861303,1131.5804406628201,772.3473035718062,2171.3520157253497,4352.265228770464,9474.127847818147,4381.458104562869,-740.4045144848133
4,California,Mountain View,"Data Scientist, IT",103042.0,92.16816711097931,74.45469644082486,88.0312048241135,81.23548678698016,2080.1013640756187,5661.690046754701,2314.6068785790103,3916.733965162641,228.05063170605536,1140.2720212789704,762.9163199485796,2144.838056000414,4394.708242654629,9578.424011917343,4192.1250906787045,-991.5906785840089
41,Washington,Seattle,"Data Scientist, IT",100529.55,88.69115772374336,43.13538175060007,84.34326837669661,79.77588693958263,2001.6303236286,5448.104922332265,1340.9691541677623,2269.162630152015,223.9531285039152,1119.7841663515446,730.9550749754013,2054.9832544407286,3342.5994777963624,7717.26755248428,5034.863022203637,660.1949475157198
26,New York,New York,"Data Scientist, IT",99199.95,86.2982826383532,60.012261670688936,89.3453611989042,93.51058682578838,1947.6266162185423,5301.115810161161,1865.6283660018532,3156.9810213198602,262.5102555579543,1312.572990796848,774.305364859364,2176.856845358327,3813.2549822203955,8458.096831481022,4453.407517779605,-191.43433148102122
