,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
0,California,Cupertino,"Data Scientist, IT",125000.0,90.77168270164698,72.87580555530852,87.24363111939942,81.58303658789949,1776.710454192417,5173.50482407556,1815.5476562188455,3402.74261952041,231.44291649621204,1157.1982658737427,694.3109895375164,2063.486363236035,3592.2581104112624,8576.24744359597,6824.408556255404,1840.4192230706958
8,California,San Jose,"Data Scientist, IT",117109.79,91.06606070919574,72.68297470089568,87.37157290820353,81.53667668528558,1782.4724326853718,5190.2828103023985,1810.7436804259441,3393.738893775367,231.31139808848667,1156.5406831070964,695.3291886753562,2066.5124424248297,3593.216113111316,8584.021704077766,6165.93305355535,1175.1274625889
5,California,Palo Alto,"Data Scientist, IT",114109.51,92.54535854249175,74.69847511609082,88.24937932747912,82.01072722644962,1811.4273208956079,5274.5949465217545,1860.955640719659,3487.847344586804,232.65623206871493,1163.2647581981294,702.3150355018771,2087.274319853536,3672.382961615267,8762.442291108558,5836.742871718066,746.683542224775
7,California,San Francisco,"Data Scientist, IT",114060.42,91.6805964003635,74.69278806352919,89.97677643079977,80.82252407882157,1794.5009855828748,5225.308087659798,1860.8139597478964,3487.581802738128,229.28541855920892,1146.4109282912289,716.0621798692339,2128.130716141276,3655.3149453307715,8712.889890397926,5849.720054669228,792.1451096020737
40,Washington,Bellevue,"Data Scientist, IT",111968.75,89.01922585388533,43.47216137720912,84.81735715067647,77.35903317278179,1742.408915328439,5073.624071774439,1083.017609174273,2029.8173742811305,219.45984120786466,1097.2837342326889,675.0019734122286,2006.1001313277998,2825.426524502712,7103.441446055569,6505.302642163954,2227.287720611097
10,California,Santa Clara,"Data Scientist, IT",109926.79,91.06606070919574,72.53914150904777,87.44284389050276,81.47096176143978,1782.4724326853718,5190.2828103023985,1807.160378500756,3387.022984039987,231.12497142102853,1155.6085629127904,695.8963845337881,2068.198143698171,3589.6328111861276,8577.305794342385,5570.933022147205,583.2600389909476
9,California,San Mateo,"Data Scientist, IT",104804.68,90.77066162371896,74.10396493025674,89.11942489402246,80.61627946703794,1776.6904682257007,5173.446628045375,1846.1446679109931,3460.0882669112734,228.70032322003993,1143.4854928443065,709.2391191340989,2107.852637593419,3622.835136136694,8633.534894956649,5110.888197196639,100.18843837668464
4,California,Mountain View,"Data Scientist, IT",103042.0,92.16816711097931,74.45469644082486,88.0312048241135,81.23548678698016,1804.0444021300425,5253.097034040133,1854.8824069606258,3476.464745358749,230.45695246598402,1152.2685152325628,700.5787373517426,2082.1140564999323,3658.926809090668,8729.561779398882,4927.906524242666,-142.72844606554827
41,Washington,Seattle,"Data Scientist, IT",100529.55,88.69115772374336,43.13538175060007,84.34326837669661,79.77588693958263,1735.9875065899182,5054.925927117436,1074.6274520145244,2014.0923420826311,226.31621365890197,1131.5651131171219,671.2290327222647,1994.886983645628,2810.6149586044426,7069.018269200067,5566.847541395557,1308.4442307999325
26,New York,New York,"Data Scientist, IT",99199.95,86.2982826383532,60.012261670688936,89.3453611989042,93.51058682578838,1689.1508053935424,4918.544729488149,1495.0794737757064,2802.113526219393,265.28018376607906,1326.3822167130302,711.0371880292394,2113.1964830764823,3184.230279169249,7720.658255707542,5082.432220830751,546.0042442924587
