,occupation,State,city,Salary,cpi_index,cpi_single,cpi_family,quality_of_life_index,rent_single,rent_family,groceries_single,groceries_family
0,"Data Scientist, IT",California,Cupertino,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Data Scientist, IT",California,Irvine,85295.36,83.72353381436591,1638.7542167621095,4771.797692689641,200.86540086936301,1650.7586515809674,3093.8911457576833,253.88213023137186,1269.3927525964425
2,"Data Scientist, IT",California,Los Angeles,86269.74,82.33177383965034,1611.5127420730119,4692.474750458719,136.54255609911996,1716.2748090474227,3216.683087084419,234.684622951686,1173.4065696124644
3,"Data Scientist, IT",California,Menlo Park,86400.0,0.0,0.0,0.0,0.0,2696.379859431774,5053.619294804668,0.0,0.0
4,"Data Scientist, IT",California,Mountain View,103042.0,0.0,0.0,0.0,0.0,2167.5028292255215,4062.3853797907227,0.0,0.0
5,"Data Scientist, IT",California,Palo Alto,114109.51,0.0,0.0,0.0,0.0,2696.379859431774,5053.619294804668,0.0,0.0
6,"Data Scientist, IT",California,San Diego,91324.0,76.92821728156909,1505.7467681390644,4384.500665497846,184.8948423381148,1541.7424498623127,2889.570386379288,213.01000018811092,1065.0349838444154
7,"Data Scientist, IT",California,San Francisco,114060.42,97.92630292869973,1916.7506977446112,5581.280257530362,152.96792555931125,2873.9198765088645,5386.369019500287,305.0197561613845,1525.0772770700153
8,"Data Scientist, IT",California,San Jose,117109.79,82.95421447635016,1623.6960216313921,4727.9505678152345,177.0611949689724,2038.0902202313612,3819.8371885496995,242.2763984755426,1211.3649120154532
9,"Data Scientist, IT",California,San Mateo,104804.68,91.32395014424984,1787.5202057534595,5204.9811412864765,0.0,2079.774529672007,3897.962913210856,269.9161981911149,1349.561962001562
10,"Data Scientist, IT",California,Santa Clara,109926.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Data Scientist, IT",California,Santa Monica,88988.76,78.14769167305866,1529.6160281934463,4454.004242598477,0.0,2471.681537812459,4632.484353570944,218.45610684312564,1092.2651331717534
12,"Data Scientist, IT",California,Sunnyvale,98263.52,0.0,0.0,0.0,0.0,2167.5028292255215,4062.3853797907227,0.0,0.0
