,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,Arlington,22.118055555555557,45,75.96908733298797,129.37660530003242,82.62848872843286,4.751724344789509,83.07073519841775,77.88194444444444,3303.333333333333,89.12166828228725,103.30238130959971,198.41435823982226,61.84949056997786,85.18518518518518,171.67281869105219,88.50942593069743,13.448275862068966
1,Chevy Chase,45.3125,,,,87.04366376158941,3.027349804699609,,54.6875,,,,,60.63335010850723,,,,
2,Washington,57.49777019429142,43.875,82.94807825968644,120.74683845512293,84.9983081601613,4.349105277901526,83.11498978727127,42.50222980570858,8450.949999999999,91.93935940478265,244.61257638414224,155.2660440771098,73.29573210489026,70.41245791245791,206.06113251029882,92.7409449882194,38.21896321451382
3,Silver Spring,42.5,0,,,70.21462623221068,2.18539999369561,,57.5,0,,0,,47.2730649022565,72.22222222222223,0,,20.689655172413794
4,Fairfax,18.303571428571427,61.666666666666664,,,78.63718922576462,2.8988689517589794,75.18621702988085,81.69642857142858,15073.333333333332,,380.6259629451155,,53.38108516883304,91.66666666666667,337.8599115247789,,28.69458128078817
5,Reston,25,,,,74.95178323023762,3.1548101019252544,,75,,,,,57.061685012864075,77.77777777777777,,133.41510746682218,
6,Springfield,30.3125,,,,68.31210226265269,4.1587835700923925,,69.6875,,,,,54.62247865663716,,,,
7,Rockville,30.620659722222225,31.4,78.83674098473465,116.8699405787327,74.73790889137793,3.5801571325233987,75.82997605354691,69.37934027777779,4496,92.65578130350475,119.39460097507114,192.48536714060046,64.00168483074019,81.94444444444444,123.04613303179728,87.75631299811067,13.793103448275861
8,Alexandria,31.994047619047617,32.5,70.79179922694028,112.2205488338798,92.30980633120967,5.172848008196722,82.39901221620124,68.00595238095238,6337,80.79484406116268,154.4743682958628,158.89065883773495,60.05330158864551,50,141.0157349726202,77.09976071297817,44.827586206896555
9,Herndon,39.0625,,,,68.47170997821964,,76.18418066789594,60.9375,,,,,47.4825467260479,,,,
10,College Park,,,,,47.37284684199397,,79.810700965628,,,,,,56.44371363267948,,,,
11,Gaithersburg,,,,,95.9612660457458,,,,,,,,,,,,
12,Centreville,29.6875,,,,74.72577870499482,3.946767152793564,,70.3125,,,,,42.245501131263204,,,,
13,Ashburn,,,,,116.24485297085552,,79.24207053283256,,,,,,,,,,
14,Woodbridge,51.953125,,,,110.21231975328722,,78.66971542721696,48.046875,,,,,39.9761147068565,83.33333333333333,,,
15,Manassas,83.59375,60,,,80.86876046173542,4.663438814728682,76.14948211497203,16.40625,15960,,293.77579443845696,,41.89636475827756,,329.2007339578136,,
16,Laurel,,,,,71.05735497040415,,75.75287092471855,,,,,,42.76920569074167,,,,
17,Bowie,,,,,85.969823051255,,,,,,,,,,,,
18,Waldorf,36.71875,,,,88.98832416805708,6.498710914088494,78.58040032042695,63.28125,,,,,39.12073059304167,80.55555555555556,,,25.862068965517242
19,Columbia,14.583333333333334,18,,,76.48401729968029,2.6540421837864026,,85.41666666666669,4788,,68.62093111592606,,45.41682318588281,63.888888888888886,99.72179142809063,107.28295432693709,58.62068965517241
20,Frederick,23.4375,10,,,67.83532209471112,1.3185790260469408,74.10998767102463,76.56249999999999,2660,,22.86340525097774,,37.05500705287659,100,69.51903482238676,,19.82758620689655
21,Warrenton,6.25,42.5,,,81.08071950800834,,75.3934018635088,93.75,11305,,279.04025780179114,,27.639962861363664,,214.87942180264776,,10.344827586206897
22,Annapolis,31.979166666666668,31.25,83.69800069161337,108.92020741976398,87.53972454157149,2.6525350669748957,83.69823916870526,68.02083333333334,8312.5,111.86204644041324,166.35444313006732,194.67471163076894,53.463252795292014,86.11111111111111,148.6225938425794,132.82842788032244,6.896551724137931
23,Baltimore,70.244017653604,36.36842105263158,61.359931820924906,104.42530156783786,80.15660164133153,2.270438204350331,83.14089531164032,29.755982346396006,5836.631578947367,76.57172353398335,152.7308117512824,150.20905687903425,45.02972515964397,82.29166666666667,153.00212370187444,73.92138547274648,46.950539881574365
24,Fredericksburg,30.72916666666666,18,,,74.97693740621098,1.6580771096446794,79.48817396799706,69.27083333333333,4788,,52.14727105470641,,35.786478231028745,100,98.65932299663525,69.88312539730818,
25,Germantown,46.09375,20.666666666666668,66.71942221181989,97.59851986692493,86.28137731204168,2.11510839688346,79.97996696842962,53.90625,5497.333333333334,90.10259055825554,82.86160208516857,185.3061674583633,41.61705565988904,73.61111111111111,108.4595660983755,88.6639933870043,9.482758620689655
26,Martinsburg,,12,,,108.59708967174974,,,,3192,,29.29269875637112,,,,77.37416215748199,85.65862792869001,
27,Winchester,14.0625,,,,90.67633536789309,,76.20988986910753,85.9375,,,,,29.85115989027276,,,90.48249540765751,27.586206896551722
28,Hagerstown,57.5,,,,60.625394680948595,6.121974049503654,,42.5,,,,,26.53436434690912,,,,33.62068965517241
29,Abingdon,40.36458333333333,,59.841939132917,75.0825373397876,81.17009982872582,2.4862293082074087,80.3978350641237,59.635416666666664,,87.61611258132508,,,30.025728076765578,,,89.37148129889057,27.586206896551722
30,Lexington Park,50,,,,72.7172752123004,,82.22246186534042,50,,,,,42.59463750424885,58.333333333333336,,,
31,Gettysburg,,,,,78.48102903685393,,,,,,,,,,,59.09181633355466,
